dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;duration_create_graph;gflops_create_graph;duration_prune_graph;gflops_prune_graph
20000;1;0.1803294;344.457;1.4741840000000002;776.6745;0.431474;29.6657;0.282527;671.892
40000;1;0.237429;524.0025;1.476505;775.8205;0.453857;112.811;0.407292;932.59
60000;1;0.325214;573.168;1.474158;777.154;0.480882;239.56;0.53775;1059.65
80000;1;0.39950600000000003;622.5464999999999;1.475676;776.3054999999999;0.51307;399.166;0.670246;1133.49
100000;1;0.397677;783.4235;1.478575;774.347;0.549477;582.372;0.798602;1188.46
200000;1;0.618725;1004.414;1.4733900000000002;777.7825;1.05729;1210.65;1.45787;1303.24
400000;1;0.935574;1328.19;1.475555;776.3495;3.06293;1671.6;2.76117;1375.68
600000;1;1.5574219999999999;1196.21;1.472616;777.06;6.48412;1776.65;4.06482;1400.21
800000;1;1.709863;1460.395;1.476315;776.6055;11.2087;1827.15;5.37941;1413.43
1000000;1;2.74773;1136.375;1.4736690000000001;777.6825;17.2924;1850.52;6.73577;1410.44
