KERNEL_TRANS_DATA_SPLIT, KERNEL_TRANS_GRID_BLOCK_SIZE, KERNEL_TRANS_MAX_DIM_UNROLL, KERNEL_TRANS_PREFETCH_SIZE, KERNEL_TRANS_STORE_DATA, KERNEL_TRANS_TRANSFER_WHOLE_GRID, KERNEL_TRANS_USE_LOCAL_MEMORY, OPTIMIZATION_FLAGS, TRANS_LOCAL_SIZE, VERBOSE, duration
4, 2, 2, 64, array, false, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 64, true, 5.33056
1, 2, 2, 64, array, false, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 64, true, 5.36839
4, 1, 2, 64, array, false, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 64, true, 5.72707
4, 2, 1, 64, array, false, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 64, true, 5.3173
4, 2, 2, 16, array, false, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 64, true, 5.45145
4, 2, 2, 64, array, false, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 64, true, 5.32578
4, 2, 2, 64, array, true, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 64, true, 5.27703
4, 2, 2, 64, array, false, false, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 64, true, 5.60049
4, 2, 2, 64, array, false, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 64, true, 5.31284
4, 2, 2, 16, array, false, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 64, true, 5.44407
