WRITE_SOURCE, KERNEL_SCHEDULE_SIZE, KERNEL_TRANS_SCHEDULE_SIZE, KERNEL_TRANS_DATA_SPLIT, KERNEL_TRANS_GRID_BLOCK_SIZE, KERNEL_TRANS_TRANSFER_WHOLE_GRID, KERNEL_DATA_BLOCK_SIZE, KERNEL_GRID_SPLIT, KERNEL_MAX_DIM_UNROLL, KERNEL_PREFETCH_SIZE, KERNEL_STORE_DATA, KERNEL_TRANSFER_WHOLE_DATASET, KERNEL_USE_LOCAL_MEMORY, LOCAL_SIZE, OPTIMIZATION_FLAGS, VERBOSE, duration
true, 47104, 8192, 1, 1, true, 4, 8, 4, 32, array, true, true, 128, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, 0.0136988
true, 47104, 8192, 1, 1, true, 1, 8, 4, 32, array, true, true, 128, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, 0.0214098
true, 47104, 8192, 1, 1, true, 4, 1, 4, 32, array, true, true, 128, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, 0.0186155
true, 47104, 8192, 1, 1, true, 4, 8, 1, 32, array, true, true, 128, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, 0.0115508
true, 47104, 8192, 1, 1, true, 4, 8, 4, 16, array, true, true, 128, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, 0.012458
true, 47104, 8192, 1, 1, true, 4, 8, 4, 32, array, true, true, 128, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, 0.0119557
true, 47104, 8192, 1, 1, true, 4, 8, 4, 32, array, true, true, 128, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, 0.0115389
true, 47104, 8192, 1, 1, true, 4, 8, 4, 32, array, true, false, 128, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, 0.0256222
true, 47104, 8192, 1, 1, true, 4, 8, 4, 16, array, true, true, 64, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, 0.0126955
true, 47104, 8192, 1, 1, true, 4, 8, 4, 32, array, true, true, 128, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, 0.0116374
